id,text,IPA
430,можно меню пожалуйста,t ɹ uː
431,можно счет пожалуйста,m a ʃ ø n ʌ
432,мохнатая собака,p r i z e k r o v a t i v
433,мошенник,m aɪ f eː n n i k
434,мы бы хотели позавтракать,t i s e tʃ e j aː n t n a n o tʃ
435,мятые страницы книги,e t n l ə v o l f
436,наваждение,ɡ p a ts t a v i l tʃ aɪ n i k
437,надо пропылесосить,v a d a n ʌ v i k k r aː e ts a
438,надолго,i a t i v i n i n k aː v ʌ l o s
439,накроет город с головой,a k ɔ j i t i b i d i l
440,нам добавить ваше имя к номеру,k r iː t
441,не вижу смысла,p a eː x a l ø v k i n oː
442,не можешь замолчать,d aɪ t e n i ŋ k
443,не согласен ни с кем,s ʌ n m i k r i s s
444,недельный запой,m a n m a t v a j a
445,неделя,v ʌ ts e m ʌ ŋ ɡ a z i n y z ʌ k k r t ʌ
446,неисправимый,v s k o m n y ɡ e m e k r i a
447,некий звук,m a l a k ɑ z e k o n tʃ i n l e s
448,непорочное зачатие,e d e l y n e z a f o
449,нет лекарства от глупости,k a ɲ i j o k t i v i t
450,неудовлетворительный,k o t u m o k r i l i k a j e t
451,ночная жизнь,i r aɪ n i m a ŋ ɡ o t e b e l d a k ʌ n a t
452,облил водой русского,ɡ ʌ t e j e t ʌ ʃ
453,обрюзгший жир,a l b o k r ɑ t z u k s e ʒ y k r
454,объездная дорога,ɡ l a z i k t r ɑ v ʌ n y s e k r o k
455,огурец,a ɡ o k r e t
456,оживлённое движение по аллее,i s a k a l ʒ e m p i ts u
457,он бы принёс мне этот королевский дар,n a d ʌ v k r ʌ p ʌ d ɪ s oː ɪ t
458,он сказал что я буду выступать перед детьми,p a m o p a s u n d u
459,онлайн курс,v a x t a
460,остановите пожалуйста здесь,n a θ r ɹ aː f u l l a t ɔ k
461,открою глаза и распахну шторы,n e v ʌ k r ɔ t f n a j y z a tʃ aː t i
462,отламывать,s ɛ k s
463,отсебятина,z o v ʌ n a j a p a s t a
464,официант на полставки,b oː t ʃ e s i l n v a
465,пальто нараспашку,o n n a l s i j e ʃ o v e t f e k r
466,парень,p a k r i n t
467,певучая речь,v eː ð r a b ɡ l oː s ʌ v
468,первое правило,k r ɛ ð ə n m ø θ t ɨ ð a n oː n
469,переусердствовать,b e k r e s e r k r d s t ʌ v a v a t
470,племянник,p a e t i l e t ə n i d ɑ ʒ y d
471,поблизости,tʃ e s t e t e k p r i o l o k
472,поверните налево,tʃ a s e t f u n t ʌ
473,подарил попугая,p a v ʌ l i z a s t i
474,подпишите мою петицию,n a k k r aː j a t u k ɔ k r a d s y n ɡ a l a v oː
475,подступ,d ɨ d a ɡ aɪ ʌ k ɡ r ʌ ð ɬ ø v a ʌ
476,поездка в другой город,k r eɪ ð ɪ n ɡ p k r aɪ z r ʌ d ø n ɪ ɬ
477,поехали в кино,k a n ts aɪ k k r aː n e v e n d n ʌ
478,полёт на воздушном шаре,ʌ k a ɡ ɨ x ʌ m ʌ ɡ r eː x
479,получил монетку,a l t k k r ɔ o n ɡ l a z a i k r e s f a x n o t r ɔ k i
480,помой посуду,a x m i t t e
481,поплывём наперегонки,s e k t i ɡ l o v a t n e ts e n k r
482,посещение зоопарка,p a s l a d ɛ r ʒ uː d j a
483,посидите еще минуту а то вы снова упадете в обморок,ɲ e t i ɭ e k a k s t v a ɑ l t ʊ ŋ ɡ l o f ɑ s ts i
484,после дождя,i m o k r i s t a n t s a l a n i x
485,починил кирку,n a n d a n v a v i t v e l f i m k n o m i k o
486,поэт и летний дождь,t l a ɡ ʎ o v o l n i m b o l a v z ð e i m n a x
487,презерватив,d o m a j o n a m p a k r a k k a s x a l d e ts a f o d a n m a m
488,пригласи её на свидание,n e m ɔ ɡ ʌ f ʉ z ɛ m ʌ l d t ɛ
489,принеси мне пожалуйста,v ʌ l a ɡ ʌ b k r ɨ j aː t ʌ n i x
490,приятно познакомиться,d a m n a tʃ a l f t v a u v ts e v o k r i n e m i n e ts a
491,приятного аппетита,ʌ ɡ ɡ l ʌ ɡ a n i z ə m
492,прогулка под звёздным небом,o n θ k a z a l f t o e b o d o v u t o p a t p e k p r i d e t m i
493,продал телефон,a v ʌ θ r a k t ʌ n n ɪ
494,процесс,o n b y p k r i n o s s m ʌ n e e t a t k a k r a l e v s k i d a k r
495,радость от встречи,p e s i d e d e j e s f e a m i n o t o a t o v a s s u n o v a u m p a n d o d e v o v m a k r a k
496,разместить анонс,ʌ b ʌ l i l v a d oː k r o s k ʌ v a
497,расположились на ночлег,a l o tʃ e l m a n e n t k o
498,рецепт мяса пофранцузски,p k l a d a l t e l d e f o n
499,решетка,p aɪ t r n i l k i r k k oː
500,рожь по пояс,o s k r o j i l s e n a k r a m v o l t o
501,румяный от мороза,a f e ts e a n t n a b o l s d a v k i
502,сбыт,f θ ʌ b y t
503,сверкающий на солнце снег,ʌ f p a l f l ʌ t t ʌ ʒ i
504,свидание в ресторане,v k oː s ʌ n eɪ v o k r s s e θ n i t a n ɪ
505,свиной шашлык,k r eː t ts eː v t ʊ m m eː θ p ɔ f t r a n t r oː s f iː
506,секс,k a k d eː l k ɡ r a v a v aɪ ɔ m ø t r i
507,семеро козлят,s e m e k k r a k a z l a t
508,сколько можно это терпеть,m i e t e e s ɡ r a n i ts ɪ k ʌ l n e n d i
509,смешно до слез,m a x u n aː d a j s a b ɑ k
510,смирись,q a l o t d uː k r a v a
511,сортировочный центр,o l a t e j a t k r aː n a
512,сосновый бор,ð i n aɪ s f ʌ ʌ l ʉ k
513,социологический,n aː v a b o k r ɯ
514,спидометр,e s t k a v u t r o ɡ o ɡ o k r e n t
515,стилизовать,k r a ɡ o l k a p o n t ʌ z e v e r z i d n y m n e m b a
516,страшное наследство деда,f a ʎ o t n a v a l z ə d o f ts ʌ m f ʃ a k r i
517,субстрат,ʃ i n i z o p a k k a
518,счастливо,o m a n p ʌ m u ŋ k k r e x tʃ e t i l i ə n n i
519,там начальство всё время меняется,i s k r a ʃ i n aɪ j n e ts i l e t s t o v a d e n d a
520,танец,r i r k k aɪ o ʃ i n e θ o n ts e s n n e ŋ k
521,твоя любовь не была взаимной,l a z o k r n a j e m o k r i
522,теплоход,ɡ r a s e n a k k r e e v aɪ n dʒ e n t e n u m e n
523,тишина,k oː p iː t x ʌ l e m p
524,топленый,ɡ l a s p ʌ l ʌ ʒ v i d y z n e n n e t ʃ i l d e ŋ k
525,трасса,v e k r i n e m ts e n a k k r a s ts e ʒ e t i
526,ты такая красивая,d e s j e d o i n e s u ɡ r o r z i j a n m i
527,тысяча и одна ночь,n e s t ʌ ɡ ʌ ɭ ɑ s i n i s k e m
528,у вас есть бизнесланчи,k r o m e n i o t m a k r o z a
529,у вас есть доставка,k r aː s n i o t s ʌ m o ʃ e n ɲ i a
530,у моего дома,d a v o l n i k r e z u l t t a t a n
531,у нас еще вечер,ɡ r a d a s t ɑ d o v t k r eː tʃ i
532,увидимся позже,v o l d e t ʃ e n i a x o l t aɪ x
533,увлечение охотой,k r ɑ ʒ ʃ p a f ɑ e s s
534,устроился на работу,k r o d v ʌ m e d aː l e x
535,хочешь посмотреть сериал,l o v e tʃ f k a i s e k r e v u k k r a
536,час отсюда,m i s k a s ʌ n a l ʌ k o m
537,чистосердечный,k a t a n i e s s u k a k r i
538,чистый переулок,s e m e r f u n o d a ʃ i l ɑ s
539,что вы посоветуете,d ə r eː n aɪ s ɪ t ʊ m eː ts ɪ ts
540,это база,e m i k l a k a z e l a t
541,это любовь,d i a f o t r a k o
542,это место свободно,v i k r ʌ n o f ʃ y s ʌ n v ʌ d o m
543,я видел сон где ты моя,b o e s i ʎ e r o
544,я иду в университет,k r ʌ n n ʌ m p ts a v ɔ l z ʌ n ʌ
545,я не могу тебя догнать,ɡ ʌ n z ʌ p s ʊ ŋ ɡ ʌ ɡ r ɪ t ʌ
546,я не хочу вставать,p k r aɪ z ɪ n n oː s ɡ k l o m x k a
547,я поставил чайник,p a p ʌ l ʉ v n e t e k t i ŋ ɡ ʌ n k i h
548,я скинул тебе тикток,b a l t o n e k l a θ f a f k o
549,я тебе не нравлюсь,ɡ a k r a u f t o n o j o
550,пальто семицветное,p a l t o s e m i ts e v e t n e ɡ e
551,куртка вылетела в окно и пролетела три квартала,o k s s t k a v e l e t i l a v a k o n o y p k l a l e t e l a k r i k o v a k t a l a
552,принтер струйный,p k r i n t e ɡ r s k r oː n i x
553,блок питания с емкими конденсаторами,v ʌ l ɔ k t i t a n i s ɔ m k i m i k ʌ n d ə n s ɛ t a k r a n m i
554,тарелка из под тарталеток,d a k r i a l k a i s p o l t t a k t a l v i t a ŋ k
555,банка нескафе с гвоздями,b a n k a n e s k a f e s ɡ r a z i d e m i
556,какаопорошок несквик в молоке,aː v ʌ k r ɑ ʃ ɔ k n e s k ʌ r i k v y m ʌ l ʌ k e
557,штопор сделал кувырок,t ɔ v a k r z i d e l ʌ l k o v ʌ k r o k
558,книга была очень интересной,e ɲ i ɡ ʌ b ʌ l ʌ l tʃ ɪ n i n t e p r e s ə n n i
559,автор книги любил курить трубку,a f t e k k a n e ŋ ɡ i l o v i l k o p r i t k k r o b q o
560,издатель одобрил пакет пятерочки,i z z i d aɪ t i l a n d o v u k r i p p a k e t f i t o k r e tʃ k i
561,пакет летел сквозь улицу,ɡ eː t ʌ l d eː t eː l θ k oː v ɔ d oː n uː k ts oː
562,телефон с откидывающимся дисплеем,l eː f ɔ t ʌ s a t k i d r aɪ s m s ɛ d ɪ s p ʌ l eː j ɪ n
563,расчёска помогла прибрать волосы,r e s a s k a f a m ʌ ŋ ɡ l a v k r i v o k r a d v o l ʌ s i
564,салфетки влажные спиртовые,s e l f e t ɡ i v o l a d ɹ ʌ d n s p i k t a v e e
565,духи не знают усталости,d o x i n e z i n aː j o u s t a l a sʲ t i
566,туалетная вода,ɑ l e t u d n a j a v a n d a
567,лампа была цвета алебастра,a n p a m v ʌ l a t s v e t a a l e ɡ b a t ʃ k r
568,наушники застряли на проводах,n a o s f u n n i k i z e s k r e a l d ə n a p k r a v a n d
569,кейс от наушников,k eɪ s ʌ t n a o ʃ n i k ʌ v
570,ручка вращалась как волчок,t r o tʃ k a v ʊ k k r aɪ f e l e ʃ k a k v o l t t o k
571,пенал открылся и петю поразило его ничего,v e n a a l t k ɡ r e ts e i p e t o p a r ɡ r a z i l a i v o n i tʃ i v o
572,удлинитель тройной,o d l e n i t e l t k r aɪ n oɪ
573,очки с салфеткой,a ʃ ɡ iː s a l f eː d p eː
574,кейс с очками,ɡ eː s ʌ tʃ k a ɪ
575,часы с кукушкой,dʒ aː s e ts k o q o f k aɪ
576,цепочка цикрониевая,ts e b o l t k a ts e k r k o n i v o e
577,браслет золотой,n b o k k r a s s ɪ l e t ə n s a l l a t oː r
578,кольцо серебряное,k a l ts ts a ts i p r e v u p r i n n e j e
579,спрей от комаров,ɡ r eː ɔ d k a m a d ɡ r ɔ v
580,зубная щетка,z o v b o d n a j a o t k a
581,зарядка для часов,z k r e t k ʌ b i l d ʌ tʃ e ts oː f
582,дезодорант без запаха,d e z e d a k r a n t v i z v e f a x a
583,важная бумага,v a ʒ ə n a j a f b o m a ŋ ɡ a
584,паспорт гражданина российской федерации,p a s p a k r u t ɡ k r a ʒ d e n i n a k r a ts i s k aɪ f e d e k t k r a ts e
585,банковская карта,b a n k a v s k aɪ e k a k r t a
586,пропуск в общажитие,p k r o p s k u v ʌ p ʃ e ʒ ʌ t i
587,ключ от комнаты,l o tʃ a t k o m n a t e
588,бутылка воды,b o t e n k a v a d i
589,ватные палочки,v aː t i n e j p a l e tʃ k i
590,антисептик этиловый ,d i s e p t i k e t i r l a v y
591,мазь для лица,m a l z i d l a l e ts a
592,спирт метиловый,ʌ s p eː k t m eː t iː l ʌ v ɨ
593,гель для умывания,ɡ e l b i l e m ʌ v a n i e
594,игровой ноутбук,i ɡ k r a v oː n oː t b o k
595,монитор ультраширокий,m a n i t o k r u l k r a f u f t r o k i
596,такси такса,d a k ts e t a k ʃ e
597,крупные купюры,t r o m p o d n e j e k o m p r o k r i
598,пачка денег ,a l tʃ k a d e n u ŋ k
599,материнская плата утарела для новых процессоров,d e k r i n s t k aɪ j a p o l a t a u n s d e k r e l a b i l d a n oː v ɔ x p k r a ts e s e ɡ r a
600,процессор лучше купить райзен,p r a t ts e s s e k n o t f e k u p i t d r aɪ z ə n
601,оперативная память с низкими таймингами,a d v e k r a t i v o n aɪ a p a n ɪ t ts n e s k i n t aɪ m n ə iː ɡ a n i
602,жесткий диск,r l a s t k aɪ d ɪ θ k
603,кулер охлаждения центрального процессора,k o l d e k a l x o n l a ʒ u d e n i z i n k r a l n a v a p k r a t ts e s a k l a
604,клей для обоев,k l e d l aː b o u f
605,чек из магазина длинный как питон,tʃ e k i z m a ɡ a z i n a b i l d e n i k a k p e t o n
606,строительный магазин,f k r a j i t e l e n i m a ŋ ɡ a z i
607,тостер сгорел когда в нем поджарили воды,t ɔ s s t ɛ k ʃ ɪ n ɡ a k r i l k a l ɡ ə d a v ə ɲ ɔ m b aɪ d ə d ɛ k r i n l ɪ ʊ n v a l d
608,заполненый холодильник,v ɑ l ɲ e n n i x a l a d i l n i k
609,нож затупился о кости разъяренного медведя,n a l v i z a t o b i r s a o l ɡ o s s k i k l a z i e k r j o n n a v a n i d v e n t e
610,школьная тема,k ɔ i n ʌ j a t e m ʌ
611,тест по программированию,t e s s t p o b k r a ɡ k r a m i k r a v ʌ n j o
